Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF","CP_Elec_8x11.9",62.535000,-74.920000,-90.000000,top
"C2","47nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",71.822500,-74.170000,0.000000,top
"C3","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.785000,-80.170000,180.000000,top
"C4","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.535000,-75.920000,180.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.785000,-80.920000,-90.000000,top
"D1","LED_Dual_Bidirectional","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.535000,-91.920000,0.000000,top
"J1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",163.785000,-78.445000,180.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",81.455000,-90.920000,0.000000,top
"J3","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",71.535000,-79.895000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.410000,-69.420000,-90.000000,top
"R2","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",76.535000,-74.170000,0.000000,top
"R3","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",76.285000,-79.670000,-90.000000,top
"R4","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.535000,-65.420000,180.000000,top
"R5","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.285000,-70.170000,180.000000,top
"R6","152K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.285000,-75.420000,180.000000,top
"R7","300K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.285000,-80.420000,0.000000,top
"R8","300K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.535000,-85.170000,180.000000,top
"R9","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.535000,-82.670000,0.000000,top
"R10","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.535000,-88.170000,90.000000,top
"R11","5K","Potentiometer_Bourns_3386P_Vertical",150.785000,-89.420000,90.000000,top
"R12","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.785000,-93.420000,180.000000,top
"R13","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.535000,-86.670000,180.000000,top
"R14","3.9Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.535000,-70.170000,-90.000000,top
"R15","300K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.535000,-70.920000,-90.000000,top
"RL1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.785000,-82.670000,180.000000,top
"U1","LM741","DIP-8_W10.16mm",81.935000,-70.620000,0.000000,top
"U2","TL082","DIP-8_W10.16mm",107.685000,-70.120000,0.000000,top
"U3","LM741","DIP-8_W10.16mm",123.435000,-70.120000,0.000000,top
"U4","LM741","DIP-8_W10.16mm",123.435000,-85.370000,0.000000,top
"U5","LM741","DIP-8_W10.16mm",143.185000,-70.620000,0.000000,top
